condition,horizon,n,winrate,mean_bps,median_bps,std_bps,net_exp,avg_win,avg_loss,kelly,t_stat,p_value,is_significant,sharpe,low_n,consistency,regime
action_hint = WATCH_SHORT,60,20176,51.10527359238699,-0.10757811337460928,0.10377774414926932,7.713466036572894,-0.7075781133746093,4.601778851821196,-5.029846706191026,0.0,-1.9809847112234777,0.04759284778391759,True,-0.013946792902767017,False,0.8360955421020997,NOISE
action_hint = NO_TRADE,5,238792,39.42929411370565,-0.000589915355867922,0.0,1.638079461313418,-0.6005899153558679,1.0296252812616116,-0.6712219873032271,0.0,-0.17598016208064807,0.8603095319566383,False,-0.0003601262147532976,False,6.693555996642038,NOISE
action_hint = NO_TRADE,15,238792,45.881771583637644,-0.003586302917340114,0.0,2.935356011789668,-0.6035863029173401,1.822484528535951,-1.5517405429210969,0.0,-0.5970286396399967,0.550488154842478,False,-0.0012217608027564493,False,6.693555996642038,NOISE
action_hint = NO_TRADE,60,238777,50.627573007450465,-0.026252056105441946,0.014859370911501912,5.955460752509513,-0.6262520561054419,3.5690239218432818,-3.712927152774263,0.0,-2.153988067641856,0.031240995429511642,True,-0.004408064664749885,False,6.693555996642038,NOISE
htf_bias = BULLISH,5,26470,43.50585568568191,0.03555374928478862,0.0,2.485657520872218,-0.5644462507152114,1.5658595400830861,-1.1429270242094731,0.022705580146034226,2.3270884043415534,0.019960514238202,True,0.014303559113128665,False,-1.0,MEAN_REVERT
htf_bias = BULLISH,15,26460,45.85411942554799,-0.06379083953892217,0.0,4.382447608742576,-0.6637908395389222,2.7366868205005868,-2.4354105400525925,0.0,-2.3677088535510604,0.01789858621427376,True,-0.014555984516886264,False,-1.0,MEAN_REVERT
htf_bias = BULLISH,60,26430,45.804010594021946,-0.3925716700158543,-0.3374002285527755,8.159585246116645,-0.9925716700158542,5.20268224861453,-5.121428409679316,0.0,-7.821521382919133,5.329070518200751e-15,True,-0.048111718693384466,False,-1.0,MEAN_REVERT
htf_bias = BEARISH,5,28148,41.935483870967744,-0.07253335190797079,0.0,2.3592670324126184,-0.6725333519079708,1.4646973494068987,-1.1827555250798207,0.0,-5.15794497795394,2.501334914750686e-07,True,-0.03074401960925856,False,-1.0,FLIP
htf_bias = BEARISH,15,28148,48.642887594145236,-0.04135971803820725,0.0,4.104675143472681,-0.6413597180382072,2.469182652787775,-2.4192198550988984,0.0,-1.6904986742519248,0.09093253460300832,False,-0.010076246375788866,False,-1.0,FLIP
htf_bias = BEARISH,60,28148,52.65738240727583,0.06840634509022028,0.2686733377810224,7.550597704837497,-0.5315936549097797,4.565396696800532,-4.933423986070686,0.014983658514967678,1.5199563349912422,0.12852199361433314,False,0.009059725834206991,False,-1.0,FLIP
market_state = TRENDING_UP,5,15160,46.22031662269129,0.12944589586817656,0.0,2.7338661462899823,-0.4705541041318234,1.7356701253093703,-1.251004634696578,0.0745797798675044,5.829701457872888,5.570298666768281e-09,True,0.04734902476620601,False,-1.0,MEAN_REVERT
market_state = TRENDING_UP,15,15153,47.99709628456411,0.048756470411898914,0.0,4.822078359904186,-0.5512435295881011,2.993624335565843,-2.6692668777181305,0.016286769796946914,1.2446091111110928,0.21327559959888065,False,0.010111090441273481,False,-1.0,MEAN_REVERT
